time_published,symbol,title,source,overall_sentiment_score,overall_sentiment_label,ticker_sentiment_score,relevance_score
20231205T000000,META,Celestica stock rides another tech wave – but can it avoid a crash this time?,The Globe and Mail,0.350019,Bullish,0.303239,0.631369
20231205T192459,META,"AI Alliance Launches as an International Community of Leading Technology Developers, Researchers, and Adopters Collaborating Together to Advance Open, Safe, Responsible AI",IBM Newsroom,0.291089,Somewhat-Bullish,0.313020,0.930592
20231205T233800,META,"Meta Platforms, IBM create industrywide AI alliance to share technology",Business Standard,0.293314,Somewhat-Bullish,0.346255,0.951889
20231206T210800,META,AMD releases new chips to power faster AI training,The Verge,0.300769,Somewhat-Bullish,0.347098,0.613683
20231207T020942,META,CastleArk Enters ETF Market With Large Growth ETF CARK,ETF Database,0.209881,Somewhat-Bullish,0.122051,0.600807
20231207T213849,META,CastleArk Enters ETF Market With Large Growth ETF CARK,ETF Trends,0.364654,Bullish,0.315545,0.609154
20231208T184526,META,AMD debuts new chip with eye to rival Nvidia product,Taipei Times,0.207439,Somewhat-Bullish,0.121193,0.648673
20231214T000000,META,Salesforce’s Benioff Cashing Out at Rate of $3 Million a Day,Crain Currency,0.140024,Neutral,0.130256,0.638672
20231215T192319,META,What are the most visited social media platforms among Gen Z?,Comscore,0.18827,Somewhat-Bullish,0.141267,0.801189
20231218T191706,META,Breaking Through the Echo Chamber: The Dynamic Power of Out of Home + Social Media,MediaVillage,0.347423,Somewhat-Bullish,0.300696,0.634603
20231218T191709,META,Possible IPO Stars for 2024: Private Equity Firms,Chief Investment Officer,0.269064,Somewhat-Bullish,0.337222,0.646473
20231220T042754,META,Meta: Sell it? Buy it?,新浪财经,0.023877,Neutral,0.265439,1.000000
20231223T095000,META,6 Reasons to Avoid JPMorgan (JPM) Immediately,24/7 Wall St.,0.018909,Neutral,0.130304,0.595240
20231224T213700,META,US surveillance giant’s network of operations has subsidiaries in India,The Indian Express,-0.34849,Somewhat-Bearish,-0.402308,0.732296
20231227T195216,META,GraniteShares 2x Long META Daily ETF (FBL) Dividend Yield 2026 & History $FBL,MarketBeat,0.259802,Somewhat-Bullish,-0.041830,0.601910
20231228T145552,META,Magazine roundup: Top 100 data centre companies,Data Centre Magazine,0.37287,Bullish,0.347268,0.715975
20231229T083000,META,Apple's stock underperformed top tech peers in 2023 due to longest revenue slide in 22 years,CNBC,0.18426,Somewhat-Bullish,0.267780,0.619427
